ID,Category,Name,Method,MethodArgument,ConfigPath,ConfigKey,ClassName,Namespace,Property,DefaultValue,RecommendedValue,Operator,Severity
1.1.1.1,Initial Setup,Ensure cramfs kernel module is disabled,modprobe,cramfs,,,,,,,blacklisted,=,Medium
1.1.1.2,Initial Setup,Ensure freevxfs kernel module is disabled,modprobe,freevxfs,,,,,,,blacklisted,=,Medium
1.1.1.3,Initial Setup,Ensure jffs2 kernel module is disabled,modprobe,jffs2,,,,,,,blacklisted,=,Medium
1.1.1.4,Initial Setup,Ensure hfs kernel module is disabled,modprobe,hfs,,,,,,,blacklisted,=,Medium
1.1.1.5,Initial Setup,Ensure hfsplus kernel module is disabled,modprobe,hfsplus,,,,,,,blacklisted,=,Medium
1.1.1.6,Initial Setup,Ensure udf kernel module is disabled,modprobe,udf,,,,,,,blacklisted,=,Low
1.1.2,Initial Setup,Ensure /tmp is configured with nodev,mount,nodev,/tmp,,,,,,nodev,contains,Medium
1.1.3,Initial Setup,Ensure /tmp is configured with nosuid,mount,nosuid,/tmp,,,,,,nosuid,contains,Medium
1.1.4,Initial Setup,Ensure /tmp is configured with noexec,mount,noexec,/tmp,,,,,,noexec,contains,Medium
1.1.5,Initial Setup,Ensure /var/tmp is configured with nodev,mount,nodev,/var/tmp,,,,,,nodev,contains,Medium
1.1.6,Initial Setup,Ensure /var/tmp is configured with nosuid,mount,nosuid,/var/tmp,,,,,,nosuid,contains,Medium
1.1.7,Initial Setup,Ensure /var/tmp is configured with noexec,mount,noexec,/var/tmp,,,,,,noexec,contains,Medium
1.1.8,Initial Setup,Ensure /dev/shm is configured with nodev,mount,nodev,/dev/shm,,,,,,nodev,contains,Medium
1.1.9,Initial Setup,Ensure /dev/shm is configured with nosuid,mount,nosuid,/dev/shm,,,,,,nosuid,contains,Medium
1.1.10,Initial Setup,Ensure /dev/shm is configured with noexec,mount,noexec,/dev/shm,,,,,,noexec,contains,Medium
1.3.1,Initial Setup,Ensure AIDE is installed,package,aide,,,,,,,installed,=,High
1.3.2,Initial Setup,Ensure filesystem integrity is regularly checked,service,aide-check.timer,,,,,,,enabled,=,Medium
1.4.1,Initial Setup,Ensure bootloader password is set,file_exists,,/boot/grub2/user.cfg,,,,,,exists,=,High
1.4.2,Initial Setup,Ensure permissions on bootloader config are configured,permission,,/boot/grub2/grub.cfg,,,,,,600,=,High
1.5.1,Initial Setup,Ensure core dumps are restricted,sysctl,fs.suid_dumpable,,,,,,,0,=,Medium
1.5.2,Initial Setup,Ensure address space layout randomization is enabled,sysctl,kernel.randomize_va_space,,,,,,,2,=,High
1.6.1,Initial Setup,Ensure SELinux is installed,package,libselinux,,,,,,,installed,=,High
1.6.2,Initial Setup,Ensure SELinux is not disabled in bootloader,grub,selinux,,,,,,,enforcing,!=,High
1.6.3,Initial Setup,Ensure SELinux policy is configured,config_file,,/etc/selinux/config,SELINUXTYPE,,,,,targeted,=,High
1.6.4,Initial Setup,Ensure SELinux state is enforcing,selinux,,,,,,,,enforcing,=,High
1.7.1,Initial Setup,Ensure message of the day is configured properly,file_exists,,/etc/motd,,,,,,exists,=,Low
1.7.2,Initial Setup,Ensure local login warning banner is configured,file_exists,,/etc/issue,,,,,,exists,=,Low
1.7.3,Initial Setup,Ensure remote login warning banner is configured,file_exists,,/etc/issue.net,,,,,,exists,=,Low
1.8.1,Initial Setup,Ensure GNOME Display Manager is removed,package,gdm,,,,,,,not-installed,=,Low
2.1.1,Services,Ensure xinetd is not installed,package,xinetd,,,,,,,not-installed,=,High
2.2.1,Services,Ensure time synchronization is in use,package,chrony,,,,,,,installed,=,Medium
2.2.2,Services,Ensure chrony is configured,service,chronyd,,,,,,,enabled,=,Medium
